Date,Open,High,Low,Close,Volume
12/06/2019,"22.33","22.59","22.32","22.39","114,284,157"
12/05/2019,"22.19","22.29","21.82","22.02","56,054,698"
12/04/2019,"22.52","22.52","22.19","22.20","83,043,895"
12/03/2019,"22.17","22.53","22.15","22.41","99,202,242"
12/02/2019,"21.96","22.43","21.91","22.32","91,229,869"
11/29/2019,"22.07","22.08","21.83","22.00","36,984,473"
11/27/2019,"22.07","22.26","21.90","22.09","83,451,956"
11/26/2019,"22.35","22.37","21.81","21.93","119,343,708"
11/25/2019,"22.95","22.97","22.30","22.42","185,186,710"
11/22/2019,"22.68","22.73","22.00","22.20","253,059,875"
11/21/2019,"23.63","24.06","23.60","23.66","91,650,289"
11/20/2019,"24.00","24.08","23.30","23.48","101,009,564"
11/19/2019,"23.45","24.00","23.19","23.97","116,041,289"
11/18/2019,"23.53","23.54","23.07","23.33","66,127,628"
11/15/2019,"23.38","23.52","23.22","23.48","72,188,504"
11/14/2019,"23.07","23.59","22.86","23.29","97,075,645"
11/13/2019,"23.67","23.76","23.01","23.07","127,018,075"
11/12/2019,"23.13","23.36","22.94","23.33","110,390,843"
11/11/2019,"22.93","23.28","22.80","23.01","149,905,489"
11/08/2019,"22.30","22.50","22.17","22.48","91,113,409"
11/07/2019,"21.94","22.77","21.87","22.37","217,010,473"
11/06/2019,"21.20","21.78","20.97","21.77","119,114,117"
11/05/2019,"21.31","21.57","21.07","21.15","104,151,347"
11/04/2019,"20.99","21.46","20.62","21.16","131,805,735"
11/01/2019,"21.09","21.10","20.65","20.89","95,759,018"
10/31/2019,"20.87","21.27","20.87","20.99","76,004,418"
10/30/2019,"20.87","21.25","20.66","21.00","144,627,284"
10/29/2019,"21.33","21.62","20.98","21.08","190,264,215"
10/28/2019,"21.84","22.72","21.51","21.85","283,054,596"
10/25/2019,"19.85","22.00","19.74","21.88","450,091,782"
10/24/2019,"19.89","20.33","19.28","19.98","447,288,909"
10/23/2019,"16.97","17.08","16.76","16.98","168,242,858"
10/22/2019,"16.95","17.22","16.72","17.04","69,376,496"
10/21/2019,"17.22","17.30","16.68","16.90","76,621,594"
10/18/2019,"17.38","17.52","17.01","17.13","86,305,079"
10/17/2019,"17.50","17.65","17.34","17.46","71,685,704"
10/16/2019,"17.16","17.47","17.13","17.32","100,564,648"
10/15/2019,"17.18","17.33","16.94","17.19","97,191,955"
10/14/2019,"16.53","17.24","16.48","17.13","153,403,058"
10/11/2019,"16.48","16.74","16.45","16.53","127,322,516"
10/10/2019,"16.35","16.62","16.11","16.32","94,701,337"
10/09/2019,"16.09","16.49","16.04","16.30","104,025,587"
10/08/2019,"15.72","16.26","15.63","16.00","130,535,189"
10/07/2019,"15.32","15.90","15.24","15.85","121,304,465"
10/04/2019,"15.44","15.65","15.20","15.43","120,317,824"
10/03/2019,"15.46","15.63","14.95","15.54","227,066,633"
10/02/2019,"16.22","16.31","15.96","16.21","93,848,316"
10/01/2019,"16.10","16.40","15.94","16.31","92,944,445"
09/30/2019,"16.20","16.27","15.74","16.06","89,192,507"
09/27/2019,"16.15","16.58","15.92","16.14","166,847,871"
09/26/2019,"15.38","16.22","15.16","16.17","181,182,021"
09/25/2019,"14.97","15.27","14.56","15.25","141,664,420"
09/24/2019,"16.10","16.13","14.84","14.88","194,116,834"
09/23/2019,"16.00","16.35","15.95","16.08","65,874,518"
09/20/2019,"16.43","16.46","15.88","16.04","97,594,075"
09/19/2019,"16.40","16.53","16.32","16.44","73,247,085"
09/18/2019,"16.33","16.54","16.16","16.23","63,421,610"
09/17/2019,"16.16","16.37","16.02","16.32","59,203,681"
09/16/2019,"16.40","16.50","16.08","16.19","70,921,513"
09/13/2019,"16.46","16.56","16.32","16.35","79,697,257"
09/12/2019,"16.51","16.90","16.29","16.39","128,718,252"
09/11/2019,"15.83","16.54","15.73","16.47","150,641,855"
09/10/2019,"15.39","15.70","15.26","15.70","73,255,785"
09/09/2019,"15.33","15.58","15.28","15.45","72,040,094"
09/06/2019,"15.15","15.31","15.01","15.16","62,840,645"
09/05/2019,"14.83","15.32","14.72","15.31","111,049,929"
09/04/2019,"15.13","15.23","14.61","14.71","86,530,529"
09/03/2019,"14.94","15.26","14.88","15.00","80,408,258"
08/30/2019,"15.28","15.50","14.95","15.04","139,916,769"
08/29/2019,"14.60","14.89","14.53","14.78","77,746,640"
08/28/2019,"14.25","14.48","14.15","14.37","48,579,425"
08/27/2019,"14.38","14.59","14.14","14.27","81,310,989"
08/26/2019,"14.24","14.33","14.10","14.33","75,816,288"
08/23/2019,"14.66","14.74","14.07","14.09","128,395,692"
08/22/2019,"14.85","15.03","14.55","14.81","98,474,561"
08/21/2019,"14.80","14.88","14.51","14.72","116,996,280"
08/20/2019,"15.17","15.27","14.97","15.06","62,557,969"
08/19/2019,"14.95","15.19","14.78","15.12","79,676,302"
08/16/2019,"14.44","14.82","14.40","14.66","78,110,720"
08/15/2019,"14.72","14.77","14.10","14.38","123,479,407"
08/14/2019,"15.41","15.43","14.45","14.64","143,439,027"
08/13/2019,"15.25","15.73","15.17","15.67","73,035,060"
08/12/2019,"15.53","15.72","15.25","15.27","69,959,127"
08/09/2019,"15.74","15.93","15.59","15.67","58,473,720"
08/08/2019,"15.63","15.99","15.51","15.89","79,115,316"
08/07/2019,"15.10","15.57","15.05","15.56","71,647,574"
08/06/2019,"15.46","15.50","15.05","15.38","83,463,101"
08/05/2019,"15.31","15.42","15.05","15.22","105,424,278"
