Date,Open,High,Low,Close,Volume
12/07/2020,"201.64","216.26","201.02","213.92","168,929,309"
12/04/2020,"197.00","199.68","195.17","199.68","88,204,025"
12/03/2020,"196.67","199.66","194.14","197.79","127,656,133"
12/02/2020,"185.48","190.51","180.40","189.61","143,327,093"
12/01/2020,"199.20","199.28","190.68","194.92","121,148,622"
11/30/2020,"200.74","202.60","184.84","189.20","189,009,326"
11/27/2020,"193.72","199.59","192.82","195.25","112,683,351"
11/25/2020,"183.35","191.33","181.79","191.33","146,790,645"
11/24/2020,"180.13","186.66","175.40","185.13","160,945,620"
11/23/2020,"167.83","175.33","167.26","173.95","150,781,060"
11/20/2020,"166.00","167.50","163.02","163.20","98,735,869"
11/19/2020,"164.00","169.54","162.52","166.42","187,426,239"
11/18/2020,"149.45","165.33","147.83","162.21","234,132,292"
11/17/2020,"153.39","154.00","144.34","147.20","183,565,022"
11/16/2020,"136.31","137.48","134.70","136.03","80,516,001"
11/13/2020,"136.95","137.51","133.89","136.17","59,491,112"
11/12/2020,"138.35","141.00","136.51","137.25","59,821,562"
11/11/2020,"138.82","139.56","136.86","139.04","52,073,217"
11/10/2020,"140.03","140.03","132.01","136.79","90,852,758"
11/09/2020,"146.50","150.83","140.33","140.42","104,499,202"
11/06/2020,"145.37","145.52","141.43","143.32","65,118,098"
11/05/2020,"142.77","146.67","141.33","146.03","85,243,649"
11/04/2020,"143.54","145.13","139.03","140.33","96,429,277"
11/03/2020,"136.58","142.59","135.56","141.30","103,055,264"
11/02/2020,"131.33","135.66","130.77","133.50","87,063,448"
10/30/2020,"135.63","135.86","126.37","129.35","127,763,056"
10/29/2020,"136.65","139.35","135.49","136.94","67,966,004"
10/28/2020,"138.83","139.53","135.33","135.34","76,354,304"
10/27/2020,"141.25","143.50","140.03","141.56","68,059,601"
10/26/2020,"137.21","141.92","136.67","140.09","84,717,568"
10/23/2020,"140.61","140.96","135.79","140.21","101,151,045"
10/22/2020,"147.31","148.41","141.50","141.93","119,979,698"
10/21/2020,"140.90","144.32","140.42","140.88","97,111,466"
