Date,Open,High,Low,Close,Volume
12/06/2021,"333.84","340.55","316.83","336.34","81,663,202"
12/03/2021,"361.60","363.52","333.40","338.32","92,322,096"
12/02/2021,"366.35","371.00","352.22","361.53","73,114,927"
12/01/2021,"386.90","390.95","363.59","365.00","68,804,163"
11/30/2021,"381.46","389.33","372.67","381.59","81,276,214"
11/29/2021,"367.00","380.89","366.73","379.00","58,393,474"
11/26/2021,"366.49","369.59","360.33","360.64","35,042,704"
11/24/2021,"360.13","377.59","354.00","372.00","67,680,791"
11/23/2021,"389.17","393.50","354.23","369.68","108,515,210"
11/22/2021,"387.44","400.65","377.48","385.62","99,217,639"
11/19/2021,"366.29","379.57","364.23","379.02","64,926,848"
11/18/2021,"368.85","370.67","358.34","365.46","62,696,855"
11/17/2021,"354.50","373.21","351.83","363.00","94,336,199"
11/16/2021,"334.44","352.40","334.06","351.58","79,627,154"
11/15/2021,"339.21","343.99","326.20","337.80","104,327,053"
11/12/2021,"349.17","351.50","339.73","344.47","76,719,530"
11/11/2021,"367.59","368.32","351.56","354.50","67,189,774"
11/10/2021,"336.80","359.37","329.10","355.98","128,408,291"
11/09/2021,"391.20","391.50","337.17","341.17","177,317,717"
11/08/2021,"383.26","399.00","377.67","387.65","100,337,262"
11/05/2021,"409.33","413.29","402.67","407.36","64,886,501"
11/04/2021,"411.47","414.50","405.67","409.97","76,192,303"
11/03/2021,"392.44","405.13","384.21","404.62","103,885,668"
11/02/2021,"386.45","402.86","382.00","390.67","128,213,537"
11/01/2021,"381.67","403.25","372.89","402.86","168,146,332"
10/29/2021,"360.62","371.74","357.73","371.33","89,755,342"
10/28/2021,"356.10","360.33","351.40","359.01","81,639,589"
10/27/2021,"346.55","356.96","343.59","345.95","115,579,503"
10/26/2021,"341.56","364.98","333.81","339.48","187,245,090"
10/25/2021,"316.84","348.34","314.73","341.62","188,556,490"
10/22/2021,"298.50","303.33","296.99","303.23","68,642,592"
10/21/2021,"285.33","300.00","285.17","298.00","94,444,439"
10/20/2021,"288.45","289.83","285.79","288.60","42,096,191"
10/19/2021,"292.51","292.65","287.50","288.09","52,143,447"
10/18/2021,"283.93","291.75","283.82","290.04","72,621,790"
10/15/2021,"274.58","281.07","274.12","281.01","56,773,769"
10/14/2021,"271.83","273.42","271.12","272.77","36,741,545"
10/13/2021,"270.16","271.80","268.59","270.36","42,360,284"
10/12/2021,"266.98","270.77","265.52","268.57","66,060,186"
10/11/2021,"262.55","267.08","261.83","263.98","42,601,004"
10/08/2021,"265.40","265.46","260.30","261.83","50,215,852"
10/07/2021,"261.82","268.33","261.13","264.54","57,587,397"
10/06/2021,"258.73","262.22","257.74","260.92","43,898,353"
10/05/2021,"261.60","265.77","258.07","260.20","55,297,951"
10/04/2021,"265.50","268.99","258.71","260.51","91,450,109"
10/01/2021,"259.47","260.26","254.53","258.41","51,094,283"
09/30/2021,"260.33","263.04","258.33","258.49","53,867,939"
09/29/2021,"259.93","264.50","256.89","260.44","62,828,708"
09/28/2021,"262.40","265.21","255.39","259.19","76,144,333"
09/27/2021,"257.71","266.33","256.44","263.79","84,212,062"
09/24/2021,"248.63","258.27","248.19","258.13","64,119,127"
09/23/2021,"251.67","252.73","249.31","251.21","35,842,624"
09/22/2021,"247.84","251.22","246.37","250.65","45,378,857"
